11,15.20,76.06,73.97,49.32,38.89,67.41,53.76,57.17
12,17.95,71.85,77.45,43.26,32.40,63.37,61.27,55.11
13,26.57,69.80,73.77,69.82,38.32,77.63,60.46,63.44
14,23.83,73.37,73.94,55.64,36.76,68.69,53.99,59.00
15,25.49,62.60,78.24,57.02,35.08,62.01,52.74,57.32
16,23.87,69.51,77.94,66.53,35.98,65.94,61.65,61.78
17,31.84,67.96,78.67,54.71,35.94,65.16,61.58,59.38
18,30.12,69.41,82.26,59.03,36.24,63.25,58.40,60.97
19,23.70,59.53,74.16,69.30,42.29,71.00,59.63,60.74
21,18.09,64.69,80.17,60.37,37.46,78.50,57.42,60.34
31,15.80,71.77,76.16,54.69,33.41,80.76,60.66,59.29
32,28.37,75.68,69.98,55.98,37.53,65.52,58.72,59.21
33,36.97,79.50,79.29,59.24,43.59,63.28,58.84,63.89
34,37.06,86.00,80.85,74.45,44.64,77.08,63.57,71.04
35,34.79,82.71,76.71,58.01,51.44,60.34,58.67,63.98
36,23.90,65.61,67.29,57.33,42.91,64.94,52.15,56.70
51,62.79,90.63,78.82,64.23,41.40,72.29,61.21,70.66
52,47.10,69.46,79.39,50.16,43.61,63.49,53.68,60.41
53,15.15,65.36,81.09,44.69,39.96,54.96,68.40,54.89
61,17.41,58.64,77.69,55.48,38.09,60.13,58.90,55.64
62,25.86,67.01,81.20,62.41,32.97,60.74,56.20,60.01
63,29.52,61.96,79.92,59.22,33.95,67.88,57.59,59.19
64,25.72,67.54,77.23,39.10,33.39,73.42,54.94,54.73
65,23.87,57.80,75.62,40.83,33.43,63.71,56.31,51.81
71,18.16,60.71,83.34,46.03,35.40,54.09,82.68,55.22
72,20.21,59.61,78.37,39.47,40.18,62.49,64.14,52.96
73,31.43,72.36,73.72,48.82,35.48,64.71,63.00,57.73
74,20.70,67.85,75.69,50.29,33.32,63.63,66.65,56.38
75,30.13,55.23,71.62,50.35,33.37,66.23,65.90,54.23
76,25.01,59.72,80.15,47.76,40.40,64.77,59.51,55.91
81,22.22,59.01,81.21,59.05,36.33,55.15,61.77,57.27
82,11.03,53.91,75.32,57.79,31.16,54.37,64.78,53.19
91,24.80,51.13,80.92,33.46,25.17,47.97,54.86,47.31
92,26.52,51.38,74.20,27.81,24.32,53.06,58.39,45.38
94,15.78,50.57,77.61,44.00,18.09,61.63,57.90,49.08
95,15.56,48.97,82.32,35.50,26.77,44.66,54.06,46.53
96,10.54,45.55,67.68,32.04,21.25,29.50,53.17,39.45
97,17.46,43.03,74.82,33.68,20.42,11.31,57.85,39.80
1001,31.25,73.41,75.71,54.93,39.85,64.40,57.51,59.98
